Table 1
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;United Nations;;;;;;;;;
;;;;Population Division;;;;;;;;;
;;;;Department of Economic and Social Affairs;;;;;;;;;
;;;;;;;;;;;;;
Workbook: UN_MigrantStockByOriginAndDestination_2017;;;;;;;;;;;; ; 
;;;;ANNEX. Classification of countries and areas by major area and region;;;;;;;;;
;;;;;;;;;;;;;
;;;;December 2017 - Copyright © 2017 by United Nations. All rights reserved;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).;;;;;;;;;;;;; 
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Index;Region, subregion, country or area;Notes;Code;More Developed Regions;Less Developed Regions;Least developed countries;High-income Countries;Middle-income Countries;Upper-middle-income Countries;Lower-middle-income Countries;Low-income Countries;Sub-Saharan Africa;
85;China, Hong Kong SAR;6;344;N;Y;N;Y;N;N;N;N;N;
86;China, Macao SAR;7;446;N;Y;N;Y;N;N;N;N;N;
87;Dem. People's Republic of Korea;;408;N;Y;N;N;N;N;N;Y;N;
88;Japan;;392;Y;N;N;Y;N;N;N;N;N;
89;Mongolia;;496;N;Y;N;N;Y;N;Y;N;N;
90;Republic of Korea;;410;N;Y;N;Y;N;N;N;N;N;
91;Southern Asia;;5501;;;;;;;;;;
92;Afghanistan;;4;N;Y;Y;N;N;N;N;Y;N;
93;Bangladesh;;50;N;Y;Y;N;Y;N;Y;N;N;
94;Bhutan;;64;N;Y;Y;N;Y;N;Y;N;N;
95;India;;356;N;Y;N;N;Y;N;Y;N;N;
96;Iran (Islamic Republic of);;364;N;Y;N;N;Y;Y;N;N;N;
97;Maldives;;462;N;Y;N;N;Y;Y;N;N;N;
98;Nepal;;524;N;Y;Y;N;N;N;N;Y;N;
99;Pakistan;;586;N;Y;N;N;Y;N;Y;N;N;
100;Sri Lanka;;144;N;Y;N;N;Y;N;Y;N;N;
101;South-Eastern Asia;;920;;;;;;;;;;
102;Brunei Darussalam;;96;N;Y;N;Y;N;N;N;N;N;
103;Cambodia;;116;N;Y;Y;N;Y;N;Y;N;N;
104;Indonesia;;360;N;Y;N;N;Y;N;Y;N;N;
105;Lao People's Democratic Republic;;418;N;Y;Y;N;Y;N;Y;N;N;
106;Malaysia;8;458;N;Y;N;N;Y;Y;N;N;N;
107;Myanmar;;104;N;Y;Y;N;Y;N;Y;N;N;
108;Philippines;;608;N;Y;N;N;Y;N;Y;N;N;
109;Singapore;;702;N;Y;N;Y;N;N;N;N;N;
110;Thailand;;764;N;Y;N;N;Y;Y;N;N;N;
111;Timor-Leste;;626;N;Y;Y;N;Y;N;Y;N;N;
112;Viet Nam;;704;N;Y;N;N;Y;N;Y;N;N;
113;Western Asia;;922;;;;;;;;;;
114;Armenia;;51;N;Y;N;N;Y;N;Y;N;N;
115;Azerbaijan;9;31;N;Y;N;N;Y;Y;N;N;N;
116;Bahrain;;48;N;Y;N;Y;N;N;N;N;N;
117;Cyprus;10;196;N;Y;N;Y;N;N;N;N;N;
118;Georgia;11;268;N;Y;N;N;Y;N;Y;N;N;
119;Iraq;;368;N;Y;N;N;Y;Y;N;N;N;
120;Israel;;376;N;Y;N;Y;N;N;N;N;N;
121;Jordan;;400;N;Y;N;N;Y;N;Y;N;N;
122;Kuwait;;414;N;Y;N;Y;N;N;N;N;N;
123;Lebanon;;422;N;Y;N;N;Y;Y;N;N;N;
124;Oman;;512;N;Y;N;Y;N;N;N;N;N;
125;Qatar;;634;N;Y;N;Y;N;N;N;N;N;
126;Saudi Arabia;;682;N;Y;N;Y;N;N;N;N;N;
127;State of Palestine;12;275;N;Y;N;N;Y;N;Y;N;N;
128;Syrian Arab Republic;;760;N;Y;N;N;Y;N;Y;N;N;
129;Turkey;;792;N;Y;N;N;Y;Y;N;N;N;
130;United Arab Emirates;;784;N;Y;N;Y;N;N;N;N;N;
131;Yemen;;887;N;Y;Y;N;Y;N;Y;N;N;
132;EUROPE;;908;;;;;;;;;;
133;Eastern Europe;;923;;;;;;;;;;
